id,name,category,lat,lon,state,source,metadata_json
mil_e76a360f-4128-4bcf-8371-8af3876cd2d6,NOLF Summerdale,military_base,30.50916700,-87.65305600,AL,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NOLF SUMMERDALE"",""matched_frs_registry_id"":""110054910478""}"
mil_58a5b71b-2911-4c59-8ca3-b854086c8b5e,Naval Submarine Base Kings Bay,military_base,30.79247000,-81.55931900,GA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NAVAL SUBMARINE BASE KINGS BAY"",""matched_frs_registry_id"":""110028019141""}"
mil_629bff2c-4b43-498e-9d8d-a4ff363aded6,National City,military_base,32.67235000,-117.10558000,CA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_canonical"",""matched_frs_name"":""NATIONAL CITY OF"",""matched_frs_registry_id"":""110038872958""}"
mil_5d5659c2-3b01-44ac-961c-9902b2cd1458,Santa Cruz Island,military_base,33.98960000,-119.68060000,CA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""SANTA CRUZ ISLAND"",""matched_frs_registry_id"":""110041448797""}"
mil_a1791bb8-bcaa-4bd1-9e4c-4c6e7aeae689,Naval Air Weapons Station China Lake,military_base,35.68771000,-117.68137000,CA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NAVAL AIR WEAPONS STATION CHINA LAKE"",""matched_frs_registry_id"":""110070699853""}"
mil_39123ab7-1504-47f4-8fb0-20c65887a119,Naval Base San Diego,military_base,32.68469300,-117.13042400,CA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NAVAL BASE SAN DIEGO"",""matched_frs_registry_id"":""110017760573""}"
mil_fb9b9195-8540-4434-8d42-c039f1285b9f,Naval Air Station Patuxent River,military_base,38.27550300,-76.43818300,MD,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NAVAL AIR STATION PATUXENT RIVER"",""matched_frs_registry_id"":""110011748118""}"
mil_93775c78-bcb0-49cf-8611-4997235e81cf,Naval Observatory,military_base,38.92454000,-77.06751000,DC,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_canonical"",""matched_frs_name"":""US NAVAL OBSERVATORY"",""matched_frs_registry_id"":""110000787293""}"
mil_fa9b2721-9024-4013-bc19-e4709706bd43,Naval Support Facility Dahlgren,military_base,38.33071700,-77.04521000,VA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NAVAL SUPPORT FACILITY DAHLGREN"",""matched_frs_registry_id"":""110070080554""}"
mil_c05174f6-62ee-435a-b093-28c5a785ee9d,Naval Research Laboratory,military_base,38.82274700,-77.01737800,DC,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NAVAL RESEARCH LABORATORY"",""matched_frs_registry_id"":""110028896167""}"
mil_73097ac8-bef9-4948-9df2-0c1e0f8ee770,Naval Support Facility Indian Head,military_base,38.58690000,-77.17310000,MD,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NAVAL SUPPORT FACILITY, INDIAN HEAD"",""matched_frs_registry_id"":""110056026189""}"
mil_c140c92c-16f5-47b4-a632-6db1acc2ba00,Naval Base Point Loma,military_base,32.68601100,-117.23974200,CA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_canonical"",""matched_frs_name"":""US NAVAL BASE POINT LOMA"",""matched_frs_registry_id"":""110066316588""}"
mil_b6950fdf-82c2-4ac3-8f3f-bf6795cc0815,Ellsworth AFB,military_base,44.14510000,-103.10360000,SD,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""ELLSWORTH AFB"",""matched_frs_registry_id"":""110041392016""}"
mil_7cc3aa3f-7e5e-4e21-a783-16f2631a4b34,Eareckson Air Station,military_base,52.71225800,174.11358900,AK,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""EARECKSON AIR STATION"",""matched_frs_registry_id"":""110071875872""}"
mil_9401625c-d494-48db-8550-7d2588a66218,Alpena County Regional Airport,military_base,45.07003000,-83.56828000,MI,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""airNationalGuard"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""ALPENA COUNTY REGIONAL AIRPORT"",""matched_frs_registry_id"":""110011118593""}"
mil_a5a57bc8-c08d-490d-89af-458782cce75f,Point Arena Air Force Station,military_base,38.89110000,-123.55010000,CA,BTS_MIL_BASES,"{""site_operational_status"":""care"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""POINT ARENA AIR FORCE STATION"",""matched_frs_registry_id"":""110013965637""}"
mil_5159a88e-2f75-4ed8-b0fc-b588890b3856,Malmstrom Air Force Base,military_base,47.51618500,-111.19059400,MT,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_canonical"",""matched_frs_name"":""US MALMSTROM AIR FORCE BASE"",""matched_frs_registry_id"":""110002124433""}"
mil_5aedcd83-1ac8-49e8-848a-772fe47810d3,McEntire Joint National Guard Base,military_base,33.93670600,-80.80051500,SC,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""airNationalGuard"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""MCENTIRE JOINT NATIONAL GUARD BASE"",""matched_frs_registry_id"":""110070751236""}"
mil_f4c64ce8-78d9-4d54-8eed-3b7ccbff35ef,Minot Air Force Base,military_base,47.96729500,-100.58069000,ND,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""MINOT AIR FORCE BASE"",""matched_frs_registry_id"":""110056200873""}"
mil_ff3815c0e6f1253d,Capital Airport,military_base,39.84472100,-89.66912300,IL,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""airNationalGuard"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""CAPITAL AIRPORT"",""matched_frs_registry_id"":""110060276455""}"
mil_f5267148fd600634,Quonset State Airport,military_base,41.59335200,-71.41413400,RI,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""airNationalGuard"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""QUONSET STATE AIRPORT"",""matched_frs_registry_id"":""110070038511""}"
mil_d53e26e24d556630,Cheyenne Regional Airport,military_base,41.15319000,-104.82082000,WY,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""airNationalGuard"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""CHEYENNE REGIONAL AIRPORT"",""matched_frs_registry_id"":""110024267737""}"
mil_b89311daa5b8fa79,Joe Foss Field,military_base,43.57280000,-96.75390000,SD,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""airNationalGuard"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""JOE FOSS FIELD"",""matched_frs_registry_id"":""110071870593""}"
mil_8689e371ecdf676e,Martin State Airport,military_base,39.33359000,-76.43471000,MD,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""airNationalGuard"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""MARTIN STATE AIRPORT"",""matched_frs_registry_id"":""110006560248""}"
mil_fed44f7f48cd4db1,Will Rogers World Airport,military_base,35.39613100,-97.59675200,OK,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""airNationalGuard"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""WILL ROGERS WORLD AIRPORT"",""matched_frs_registry_id"":""110022580232""}"
mil_4a5cde1dceed0c6e,Boise Air Terminal,military_base,43.56137700,-116.22825700,ID,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""airNationalGuard"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""BOISE AIR TERMINAL"",""matched_frs_registry_id"":""110000833233""}"
mil_fac0d1bcc85976f9,Air Force Plant 42,military_base,34.64594500,-118.09438000,CA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""AIR FORCE PLANT 42"",""matched_frs_registry_id"":""110006488327""}"
